Label,Description
2,"(Sports Network) - The Detroit Pistons start a three-game homestand, as they welcome LeBron James and the Cleveland Cavaliers tonight to The Palace of Auburn Hills."
3,You know your country is messed up if people don #39
3,The nation #39
3,"Google has won a trade mark dispute, with a District Court judge finding that the search engines sale of sponsored search terms Geico and Geico Direct did not breach car insurance firm GEICOs rights in the trade marked terms."
3,"Goldman Sachs reported strong fourth quarter and full year earnings of \$1.19bn, up 36 per cent on the previous quarter. Full year profit rose 52 per cent from the previous year to \$4.55bn."
3,People looking for that next chocolate fix might find it a little bit more expensive Thursday after Hershey Food Corp. said it will raise wholesale prices to offset higher raw material and other production costs.
3,Household products maker Clorox Co. on Thursday revised its second-quarter and year guidance higher to reflect the benefits of the stock exchange with Henkel KGaA and related financing.
3,"Fannie Mae (FNM.N: Quote, Profile, Research) , the largest US home funding company, said on Thursday it will delay by one day until Friday announcing whether it will sell December benchmark notes."
3,"Coca-Cola Enterprises Inc. (CCE.N: Quote, Profile, Research) , the world #39"
4,"Ask Jeeves has launched a beta desktop search application, capping off a very busy year in the desktop search space. Just a year ago, consumer oriented desktop search was only available from a few small companies like Enfish, dtSearch, and x1."
4,"The market for Linux-based products, including servers, PCs and software, will reach \$35 billion by 2008, according to a report from IDC."
4,Company #39
4,"There are 19 macaque species in Asia and one in Africa, and they are said to be second only to human beings in their wide geographical distribution."
4,Nokia has begun applying a holographic sticker to its mobile phone batteries in a bid to prevent fake power packs being inadvertently purchased as the real thing.
4,"The battle between the Nintendo DS and Sony PSP handheld game players just heated up again. Faced with the PSPs movie and music playback capabilities, Nintendo announced yesterday that it will be releasing "
4,"Mass-mailing Zafi-D worm, which disguises itself as a Christmas greeting, is infecting more than one in every ten emails. The worm, which spreads in a file attached to email messages containing the text Happy "
2,"Arsenal manager Arsene Wenger has been fined 15,000 pounds (\$29,220) for improper conduct for comments he made after the champions #39"
2,Joe Kinnear resigned Thursday as manager of struggling League Championship side Nottingham Forest. Kinnear took over at the City Ground in February and steered Forest out of relegation danger last season.
2,"Three men have been banned from football matches for five years after Birmingham City striker Dwight Yorke was racially abused at Blackburn Rovers last month, a court official said on Thursday."
2,"(Sports Network) - The Golden State Warriors lost to the New Orleans Hornets, 98-89, on Wednesday. The Warriors are 1-1 on their current four-game road trip."
2,Soccer will officially become football in Australia next year after the Australian Soccer Association announced Thursday it will change its name to Football Federation Australia.
2,American Bode Miller faces a challenge to his domination of the men #39
2,"With his infamous work ethic, Cal football coach Jeff Tedford isn #39"
2,"(Sports Network) - Tracy McGrady scored a game-high 25 points and added six rebounds to lead the Houston Rockets over the Atlanta Hawks, 92-69, on Wednesday at the Toyota Center."
1,The European Commission president urged Turkey on Thursday to  quot
1,An audio tape purportedly by Osama bin Laden praises gunmen who attacked a US consulate in Saudi Arabia on Dec. 6 and warns Saudi rulers they could be toppled like the Shah of Iran.
1,Syria on Thursday rejected accusations by US President George W. Bush and some Iraqi officials of meddling in Iraqi affairs as  quot
1,"The Sudanese government will stop its military operations in the Darfur conflict zone in west Sudan if rebels in the area stop violating a ceasefire deal, a top official in Sudan #39"
1,"China strongly demanded Japan immediately repeal its decision to issue a visa to former Taiwan leader Lee Teng-hui, warning that if Tokyo allows the visit it will harm bilateral relations."
1,The Government may have been caught flat-footed by Australia #39
2,Reuters - Carolina Panthers punter\Todd Sauerbrun was arrested Wednesday night and charged with\driving while impaired.
2,"AP - Authorities are investigating whether bettors at New York's top thoroughbred tracks were properly informed when jockeys came in overweight at races, a source familiar with the probe told The Associated Press."
2," CHARLOTTE, N.C. (Sports Network) - Carolina Panthers punter  Todd Sauerbrun was arrested Wednesday night and charged with  driving while impaired."
1,"AP - Congress overwhelmingly passed a bill granting money and other compensation to some 28,000 former political prisoners, most of them victims of torture during the dictatorship of Gen. Augusto Pinochet."
3,"Reuters - The story headlined ""UPDATE 1-Levi\Strauss   Co says could face bankruptcy"" is withdrawn. The\story was based on language included in a filing the company\made with the U.S. Securities and Exchange Commission. Such\language on risk factors is standard in most references to\indebtedness in regulatory filings by companies."
1,"Reuters - Fugitive chess master Bobby\Fischer has been offered a new home in Iceland, where he won a\classic victory in 1972, but it is unclear whether he will be\able to make the move from his detention in Japan."
1,Canadian Press - MONTREAL (CP) - A 19-year-old man charged in a firebombing at a Jewish elementary school pleaded guilty Thursday to arson.
3, NEW YORK/SAN FRANCISCO (Reuters) - Symantec Corp. &lt
3, NEW YORK (Reuters) - FedEx Corp. &lt
3," NEW YORK (Reuters) - The story headlined ""UPDATE 1-Levi  Strauss   Co says could face bankruptcy"" is withdrawn. The  story was based on language included in a filing the company  made with the U.S. Securities and Exchange Commission. Such  language on risk factors is standard in most references to  indebtedness in regulatory filings by companies."
3,Parmalat sues 45 banks as it tries to reclaim money paid to banks before the scandal-hit Italian dairy company went bust last year.
3,"A string of storms, typhoons and earthquakes makes 2004 the most expensive year on record for property insurers, according to Swiss Re."
1, LONDON (Reuters) - Britain's top court delivered a severe  jolt to Prime Minister Tony Blair's post-Sept. 11 security  policies on Thursday by ruling against the detention of nine  foreign terrorism suspects without trial.
3,"Southwest Airlines was the apparent winner today in the bidding war for ATA Airlines, a low-fare carrier that sought Chapter 11 protection this fall."
1," ALGIERS (Reuters) - Algerian security forces members are  believed responsible for the deaths of 5,200 civilians who  disappeared during a decade-long struggle with Islamic rebels  and should face justice, a government-appointed official said."
3,"A Moscow court has barred the embattled Russian oil giant Yukos from holding an emergency shareholders meeting next week, a Russian oil company official said Thursday."
3,"Symantec Corp., the world #39"
3,"FedEx Corp. (FDX.N: Quote, Profile, Research) said quarterly profit nearly quadrupled on in its international, ground and freight businesses, but the stock slipped on disappointment over the margins."
3,"The acquisition of privately held Gullivers, a wholesaler of hotels, travel packages and group tours, also includes online travel seller OctopusTravel."
3,Oil and gas producer Noble Energy Inc. (NBL) agreed to buy Patina Oil  amp
4,"Yahoo is adding local traffic information to its map service in the US, including roadwork and accident reports as well as the approximate speed at which traffic is proceeding along specific roads."
4,"O2 and Nortel have completed live mobile test calls using an emerging technology known as High Speed Downlink Packet Access (HSDPA), which the firms claim is three times faster than today #39"
2,Three soccer fans were fined and banned from attending games in England or Wales until 2009 after pleading guilty Thursday to racist taunting of Birmingham City striker Dwight Yorke.
1,A US official says intelligence agents will analyze a new tape purportedly featuring the voice of Osama bin Laden. The message praises this month #39
1,"The European commission president, Jose Manuel Barroso, today urged Ankara to  quot"
3,Sprint #39
3,Troubled doughnut maker Krispy Kreme said Thursday that lawyers have concluded for a second time that no one at the company engaged in intentional misconduct related to the company #39
3,"Cendant, the worlds largest travel group, continued its buying spree, saying on Thursday it had agreed to buy privately held Gullivers Travel Associates, the UK-based travel company, and Octopus Travel for about \$1.1bn cash."
3,"Oil and gas producer Noble Energy Inc. (NBL.N: Quote, Profile, Research) agreed to buy Patina Oil  amp"
4,"In the beginning, there was Napster. And the lords of the music industry looked upon it and declared war. And the hordes of music fans fought back, using technology to the utmost in order to continually stay "
4,"Microsoft Corp. today announced that it has acquired GIANT Company Software Inc., a provider of top-rated anti-spyware and Internet security products."
2,Australia: The long-awaited showdown between two of the world #39
1,"TOKYO - Iceland has offered a residency visa to Bobby Fischer, but the former US chess champion faces obstacles to get there because he remains in jail in Japan under an American deportation order."
1,"Beijing, Dec. 16 (PTI): China today said it opposed terrorism  quot"
1,"World News: Wellington, Dec 16 : An Australian plan to boost coastal security with a vast surveillance net across the Tasman Sea has taken New Zealand by surprise."
3," NEW YORK (Reuters) - The dollar rebounded strongly on  Thursday after the release of data showing the U.S. current  account was narrower in the third quarter than many had feared,  triggering a relief rally for the beleaguered U.S. currency."
1,Russia's Supreme Court rejects a claim to invalidate the results of the 2003 elections to the Duma.
1,Plans by the European Commission to close some areas round British coasts to cod fishing will be opposed by the UK.
1,"Little is known about the household employee at the center of the controversy enveloping Bernard B. Kerik, the former nominee for homeland security secretary."
3,"Noble Energy Inc. said Thursday it was acquiring Patina Oil Gas Corp. in a deal valued at \$3.4 billion including the assumption of debt, helping it expand into the Rockies and mid-continent."
1,The Indian army says planes have delivered supplies to tsunami survivors on \all the Andaman and Nicobar islands.
2,Craig Levein hopes to give Leicester fans an early Christmas present when his side face local rivals Nottingham Forest at the City Ground.
2,"com. How high have expectations risen for Bode Miller? The one-time slalom specialist finishes fourth in a World Cup downhill, and it #39"
2,(Sports Network) - The Boston Celtics found themselves on the wrong end of a 100-99 decision against the Denver Nuggets on Wednesday at the FleetCenter.
1," BANDA ACEH, Indonesia (Reuters) - Survivors huddle in  clearings without food or shelter above the water-damage line  all along the tsunami-ravaged coast of Indonesia's Aceh  province, and corpses float for miles out to sea."
1,"The European Parliament (EP) has advised European Union (EU) leaders, who meet today at the EU summit, to begin full membership negotiations with Turkey immediately."
1,"Japan has decided to issue a visa for former Taiwanese President Lee Teng-hui to visit this year, a government spokesman said Thursday, a decision that could exacerbate tense relations with China."
1,"An Italian captive identified as Salvatore Santoro has been killed by his captors in Iraq , Aljazeera television reported. Aljazeera on Thursday broadcast pictures of Santoro #39"
1,"ISLAMABAD, Dec 14 (NNI): Prime Minister Mr. Shaukat Aziz Tuesday said his visit will China will go a long way to strengthen existing close ties between the two countries in all fields."
1,"AFP - The Dutch electronics group Philips said that it is selling its low-brand flat screens business group to TPV Technology of Taiwan as part of a strategic change of direction, and in line with a trend by big groups to use Asian partners to cut costs."
1,Los Angeles Times - WASHINGTON  #8212
1," JERUSALEM (Reuters) - Israeli Prime Minister Ariel Sharon's  chief of staff on Thursday called a Gaza withdrawal plan a  possible step toward a Palestinian state, in a clear sign of  softening following Yasser Arafat's death."
1, SARAJEVO (Reuters) - Bosnia's peace overseer fired six Serb  police officers and three other officials on Thursday to punish  the Serb Republic for failing to arrest war crimes suspects and  obstructing the process of hunting them down.
3, quot
2,"The deal to move the Expos to Washington, DC, is, as Mayor Anthony Williams puts it,  quot"
2,AP - The promoter who brought the Montreal Expos to Puerto Rico is talking with major league baseball to have other reams play on the island next season.
3,The leading home-goods retailer keeps its balance sheet clean and delivers strong results.
3,"President Bush said Thursday that ""now is the time to confront Social Security"" to deal with a projected \$3.7 trillion, 75-year shortfall and give younger workers the ability to invest some of their contributions into personal accounts."
3,Technology problems arise as Sprint and Nextel merge. Also: Symantec buys Veritas.... Illinois' governor bans violent video games for minors   hellip
3,Global security software maker Symantec is to take over Veritas Software in a merger deal valued at \$13.5bn (7bn). The all-share deal will see Symantec swap 1.1242 shares of common stock for each Veritas share.
4,"Yahoo Inc. is adding local traffic information to its maps service, including roadwork and accident reports as well as the approximate speed at which traffic is proceeding along specific roads."
4,"biz. Warner Music Group has signed a global licensing agreement with Melodeo Inc., marking the Seattle-based mobile music platform provider #39"
4,"The combined worldwide market for desktops, servers and packaged software running on Linux is forecast to grow at a 2003-2008 compound annual growth rate of 25.9 percent worldwide, reaching \$35.7 billion by 2008."
2,Is the real Arsenal boss the fair-minded French Professor we have come to admire or the sore loser who is to face the FA today for calling Ruud van Nistelrooy  quot
2,The City Ground side are languishing in 22nd place in the league and coach Mick Harford has taken temporary charge.  quot
2,Authorities are investigating whether bettors at New York #39
2,"Dave Wannstedt withdrew his name Thursday from the search for a new coach at the University of Pittsburgh, he told ESPN #39"
2,"Amsterdam, the Netherlands (Sports Network) - American international Earnie Stewart has signed an 18-month contract with VVV Venlo, the club where the midfielder began his career."
2,"Billups scored 15 points, including a pair of free throws with 2.6 seconds left, as the Pistons rallied from a 16-point second-half deficit to defeat the Knicks, 94-93."
1,"The law lords have produced a historic, landmark judgment upholding fundamental rights. It is a decision which demonstrates how vital it is for us all that an independent judiciary is able to scrutinise every act and decision of government and parliament."
1,"DUBAI (AFP) - An Italian hostage identified as Salvatore Santoro has been killed by an Islamist group in Iraq, Al-Jazeera television said quoting a statement from the group and showing footage of the man."
2,"Reuters - Midway Games Inc. plans to publish\a ""mature""-rated pro football video game with the kinds of\violence and excess shunned by the National Football League,\the company said on Thursday."
1,"Reuters - Israeli Prime Minister Ariel Sharon's\chief of staff on Thursday called a Gaza withdrawal plan a\possible step toward a Palestinian state, in a clear sign of\softening following Yasser Arafat's death."
3,"Reuters - U.S. Mid-Atlantic factories kicked\production up a notch in December as orders for manufacturing\goods increased, a regional Federal Reserve bank said on\Thursday."
1,"Reuters - Darfuri Dowsa Ahmed Hassan\said he was standing in the market place when he heard the\Antonov plane's drone and watched it drop three bombs on his\village, killing a mother and her three children."
1,Canadian Press - OTTAWA (CP) - Paul Martin knew it wouldn't be easy to explain the sponsorship scandal to Canadian voters.
1,"AP - For one night only, it'll be spitballs and Swift Boats together on the same stage  #151"
3," NEW YORK (Reuters) - U.S. Mid-Atlantic factories kicked  production up a notch in December as orders for manufacturing  goods increased, a regional Federal Reserve bank said on  Thursday."
3,"Symantec Corp. (SYMC), the top global security software maker, on Thursday said it will buy Veritas Software Corp. (VRTS) for \$13.5 billion, expanding "
3,Southwest Airlines #39
4,"If a plastic card that gives you credit for something you don't want isn't your idea of a great gift, you can put it up for sale or swap."
3,"Goldman Sachs Group Inc. on Thursday said fourth-quarter profit rose as its fixed-income, currency and commodities business soared while a rebounding stock market boosted investment banking."
3,"The FedEx Corp., the huge package delivery courier, reported Thursday its second quarter earnings soared due to a strengthening economy and continued growth in overseas and ground shipping."
2,"A few stories Terry Francona never told as he was guiding the Red Sox to their first world championship since the inventions of traffic signals, frozen food, and bubble gum:"
2,"FORT LAUDERDALE, Fla. -- Two days before college football's biggest game of the season -- the BCS national championship Orange Bowl matchup between No. 1 Southern Cal and No. 2 Oklahoma -- college football itself is again on the precipice of chaos."
4,Hewlett-Packard Co. is planning to spend \$3 billion over the next three years to grow the server product line that runs on Intel Corp.
4,Sales of Apple #39
4,"com December 15, 2004, 2:54 PM PT. SAP is starting a computer security service for its corporate customers, the German software maker announced on Wednesday."
4,Adobe has issued a patch for Acrobat Reader to correct a vulnerability that could allow an atacker to take over a user #39
2,London - Arsenal manager Arsene Wenger was fined 15 000 by the Football Association on Thursday for calling Manchester United striker Ruud van Nistelrooy a cheat.
2,Ed Orgeron #39
1,Bertie Ahern and Tony Blair meet today to try to find a way of breathing new life into the faltering efforts to restore devolution to Northern Ireland.
3,Shares in Irish oil company Petrel Resources have lost more than 50 of their value on a report that the firm has failed to win a contract in Iraq.
3,Yukos can succeed in postponing the auction of Yuganskneftegaz on December 19 if the court rules in its favor in the case where the Russian oil giant seeks US Chapter 11 bankruptcy protection.
3,Low-cost carrier Southwest Airlines Inc. reported Thursday that it won a \$117 million bid for rights to six of ATA Airlines Inc. #39
2,"The Detroit Lions reached a six-year deal with Shaun Rogers yesterday, making him the highest-paid defensive tackle in the NFL, his agent said. Kennard McGuire would not reveal terms of the contract, but ESPN.com reported the deal was worth \$46 million and included a \$15 million signing bonus. Rogers, 25, was selected to the Pro Bowl this year and was ..."
2,"Oxford, MS (Sports Network) - The University of Mississippi introduced Southern California assistant Ed Orgeron as its new head football coach during a Thursday press conference."
2,"John McEnroe has previously worked with young British players, but the Lawn Tennis Association has now hooked up with another American left-hander with a fiery reputation."
3,The News Corp. publishing division appears to have a winning title on its hands.
1,Britain's highest court ruled today that the British government cannot indefinitely detain foreigners suspected of terrorism.
3, LONDON/BOSTON (Reuters) - United Technologies Corp. &lt
3,"Within hours of the announcement that antivirus maker Symantec (SYMC:Nasdaq - news - research) and software storage vendor Veritas (VRTS:Nasdaq - news - research) would merge, skeptical investors shaved about a billion dollars off the value of the all "
3,The proposed merger of Sprint and Nextel Communications could face a rocky start as the companies work to run and eventually merge two wireless technologies without breaking the bank or losing customers.
3,US President Bush said that now is the time to confront Social Security to deal with a projected \$3.7 trillion shortfall over 75 years and give younger workers the ability to invest some of their retirement money in personal accounts.
3,"NEW YORK, December 16 (newratings.com) - Goldman Sachs Group (GS.NYS) reported sequential earnings growth of 36 for 4Q today. The renowned brokerage firm reported earnings of \$1.19 billion or \$2.36 per share "
3,"Check-cashing service Advance America Cash Advance Centers Inc. gained as much as 37 percent in its initial public offering Thursday, leading moderate advances for all but one of the day #39"
4,"com December 16, 2004, 9:02 AM PT. Fans of the Mozilla Foundation #39"
4,"December 16, 2004 -- (WEB HOST INDUSTRY REVIEW) -- The Internet Corporation for Assigned Names and Numbers (icann.org) said earlier this week that it has moved its commercial and technical negotiations with the ."
2,Football teams would have to include a minimum number of  #39
2,"AP - Former Miami Dolphins and Chicago Bears coach Dave Wannstedt decided Thursday not to seek the coaching job at Pitt, the school where he played and once was an assistant coach."
1,"Canadian Press - OTTAWA (CP) - Prime Minister Paul Martin slammed Stephen Harper over the gay marriage issue Thursday, accusing his rival of political cowardice."
2," OXFORD, Miss. (Sports Network) - The University of  Mississippi introduced Southern California assistant Ed Orgeron  as its new head football coach during a Thursday press  conference."
1," HERZLIYA, Israel (Reuters) - Prime Minister Ariel Sharon  said Israel was ready to coordinate its Gaza withdrawal plan  with a future Palestinian government and said that could open  the way for a broader peace agreement."
2,Arsene Wenger was tonight warned not to repeat his accusation of cheating against Ruud van Nistelrooy as he received a record fine and a severe reprimand from the Football Association.
2,"WALTHAM -- Shifting his weight from right to left and glancing repeatedly at his cellphone, Al Jefferson looked a bit distracted around 3 p.m. yesterday. That was understandable. The Celtics' rookie big man had to rush home and pack before catching the team charter to Detroit in an hour."
3," NEW YORK (Reuters) - U.S. blue chips rose  on Thursday,  boosted by Johnson   Johnson &lt"
3," NEW YORK (Reuters) - The dollar climbed across the board on  Thursday after data showed the third-quarter U.S. current  account deficit was narrower than many had feared, fueling a  relief rally for the beleaguered U.S. currency."
3,"The FCC says it's inclined to let Web surfers go wireless on airplanes. Yippee! But they might allow in-flight cell phone use, too. Oh."
3,"Hershey Foods (down \$0.23 to \$56.35, Research), the nation #39"
3,Communications giant Motorola Inc. said Thursday it received a three-year contract extension from Nextel Communications Inc. to continue supplying telecommunications infrastructure for Nextel #39
4,Harvard University is embarking on a collaboration with Google that could harness Google #39
4,"Scientists discovered a new species of monkey in India, 101 years after the last species of its kind was found. They have called it the Arunachal macaque (scientific name Macaca munzala) after the state of Arunachal Pradesh where it was found."
4,"Ten days after the open-source Web browser Firefox 1.0 was officially launched (November 9), it had already hit the 2 million download mark."
4,"CHICAGO -- Gov. Rod Blagojevich proposed making it a crime Thursday to sell violent or sexually explicit video games to minors, a step other states have tried with little success."
2,"London, England (Sports Network) - Arsenal coach Arsene Wenger was fined \$29,000 Thursday by the English Football Association (FA)."
2,The point man of a private group #39
2,"Nigerian Patrick Owomoyela, who plays for Arminia Bielefeld, will make his debut for Germany when they take on Asian champions Japan on Thursday."
1,"The United States suggested last week that developing nations should provide regular updates on their greenhouse gas emissions to the United Nations, much as developed nations are required to."
1,"But he said the gesture was not meant as a criticism of Washington by Iceland, a staunch US ally. no longer exists, according to laws that no one has been incriminated for before."
1,"AP - The floors are polished, a Christmas tree glitters near the bar and the dining room is ready for hundreds of guests: The luxury Paradise Hotel is open for business for the first time since the latest Palestinian uprising erupted in 2000."
3, NEW YORK (Reuters) - Clorox Co. &lt
2,"FOXBOROUGH -- After today's game against the San Francisco 49ers, Patriots right tackle Brandon Gorin will have a bull's-eye on his back for the playoffs."
3,"Indianapolis, Dec. 16 - Southwest Airlines says ATA Airlines had accepted its bid for the bankrupt carriers #39"
3,"Motorola said on Thursday it has extended for three years a deal to supply Nextel Communications with telecommunications equipment, allaying fears that Sprint buyout of Nextel would threaten the relationship."
3,WASHINGTON - About two-thirds of Food and Drug Administration scientists are less than fully confident in the agency #39
3,Noble Energy has agreed to buy Patina Oil  amp
1,"A prominent Cuban doctor who was denied permission to travel to Buenos Aires to visit relatives was staying at the Argentine Embassy on Thursday, but her son said she does plan to seek asylum in a case that has raised tensions between the two nations."
4,"Adobe this week updated its Acrobat and Reader software to fix vulnerabilities spotted by Reston, Vir.-based security intelligence firm iDefense."
4,"As expected, Apple Computer today released Mac OS X 10.3.7 Update, a maintenance release for its Mac OS X 10.3  quot"
2,New Mississippi football coach Ed Orgeron answers a reporter #39
1,Al Jazeera television said on Thursday an Iraqi group had killed an Italian hostage who appeared in video footage aired by the Arabic channel.
2,"AP - Rick Majerus' new basketball coaching job comes with a doctor's permission slip. Given the OK to return to the high-stress, late-night, eat-on-the-run profession he loves, Majerus took over Southern California's underachieving program Wednesday although he won't be on the bench this season."
3,Nearly 20 percent of US Food and Drug Administration scientists surveyed in late 2002 said they were pressured to approve or recommend approval of a medicine despite 
4,"The online search battle was extended earlier this week, when Microsoft launched its new desktop search tool - allowing users to find their favorite music, email, acrobat files and other documents in a friendly and effective manner."
4,"com December 16, 2004, 10:27 AM PT. Apple Computer on Wednesday released a minor update to its Mac OS X 10.3 Panther operating system."
3,"Reuters - Nike Inc.  said on Thursday its\second quarter earnings rose, boosted by strong demand in the\United States and overseas for its namesake athletic shoes and\Converse sneakers."
3,AP - Folks dropping money in Salvation Army kettles at Wal-Mart stores can make their money go twice as far. The world's largest retailer announced Thursday it would match up to  #36
3, NEW YORK/SAN FRANCISCO (Reuters) - Symantec Corp. &lt
3,"DECEMBER 16, 2004 (IDG NEWS SERVICE) - Security company Symantec Corp. #39"
3,MOSCOW: Embattled Russian oil major Yukos should hear later today whether a United States bankruptcy court will back its last-ditch attempt to halt the sale due on Sunday of its main production unit.
3,"NEW YORK, December 16: In addition to its \$210 million settlement with the Department of Justice over securities fraud at America Online, Time Warner has reached a proposed settlement with the Securities and Exchange Commission for a further \$300 million "
3,The decision left undecided whether the sale of GEICO #39
3,"Nike Inc., the world #39"
3,US Airways Group Inc. on Thursday said it reached a tentative agreement with the union representing its flight attendants for a work contract that would save the airline about \$94 million.
3,"Rates on 30-year and 15-year mortgages dipped this week, good news for prospective home buyers. Freddie Mac #39"
3,Noble Energy Inc. Thursday said it agreed to acquire Patina Oil  amp
3,"Fannie Mae wanted to look very safe. But to do that it cut accounting corners, two regulatory agencies have now concluded. And that has severely damaged the image of the mortgage lender and its management."
3,"Russ Berrie and Co., a maker of stuffed animals and other gift items, on Thursday said it bought Kids Line LLC , a privately held maker of infant bedding products based in South Gate Calif."
3," WASHINGTON (Reuters) - The U.S. current account trade gap  widened slightly to a record \$164.71 billion in the third  quarter, data showed on Thursday, but U.S. dependence on  overseas capital was not as great as feared, fueling a big  dollar rally."
4,"Microsoft today announced that it has acquired Giant Software, a provider of anti-spyware and Internet security products. Microsoft said it will use intellectual property and technology assets from the."
4,HP (www.hp.com) announced an investment of more than \$3 billion over the next three years designed to vault Intel Itanium 2-based HP Integrity servers to the leadership position in the \$20 billion market currently served by RISC processors.
4,"Illinois Gov. Rod Blagojevich on Thursday proposed the state ban the sale and rental of violent and sexually explicit video games for children under 18, a restriction that has failed so far elsewhere in the country."
4,"The mass-mailing Christmas e-card virus Zafi.D is clogging huge amounts of bandwidth and now accounts for one in 15 of all e-mails, antivirus companies said on Thursday."
4,"A species of monkey previously unknown to science has been discovered in the remote northeastern region of India, according to the New York-based Wildlife Conservation Society (WCS)."
4,"Adobe (Quote, Chart) issued a patch this week that helps prevent multiple flaws found in its products. The fixes clear up problems in Windows and Macintosh systems running Adobe Reader and Acrobat Pro versions "
4,Grid computing already is close to being a \$1 billion business for IBM. Now the company is stepping up its efforts to make sure its independent software vendor partners are onboard the grid-computing bandwagon.
4,Mobile phone users left talking to themselves when their battery runs out in the middle of a call could soon see an end to their frustration as scientists perfect a way to recharge electrical equipment while on the move.
4,"Melodeo, a mobile music service, has signed a deal with the Warner Music Group to make complete tracks from Warner #39"
4,"For a theoretically free operating system, Linux is -- and will continue to be -- a cash cow, a research firm said Wednesday as it predicted the OS will bring in more than \$35 billion in revenues by 2008."
4,Piper Jaffray said Advanced Micro Devices (nyse: AMD - news - people ) should have an edge over Intel (nasdaq: INTC - news - people )  quot
4,As I write this article a war is going on on the battlefield of the browsers (programs for surfing the internet such as Internet Explorer and Mozilla Firefox).
2,"Posted December 16, 2004 - Track star Marion Jones, finding it difficult to outrun accusations she injected steroids, has filed a \$25 million lawsuit against trainer Victor Conte, who is the source of the allegations."
2,Justin Langer will be aiming for another Test double century when play begins on day two of the first Test against Pakistan at the WACA ground in Perth.
2,"com. One day after signing a right-handed hitter with two 45-home runs seasons on his resume, the Mariners could be on the verge of signing the current Major League home run champion."
2,"Washington, DC, Mayor Anthony Williams will try to get financing for a Major League Baseball stadium back on the city council agenda next week after the council "
2,CBC SPORTS ONLINE - Traversing across Europe in a short period of time has taken its toll on the Worldstars. The tired group of locked-out NHL players were unable to keep up to physically fit Farjestad club 
2,"Chicago, IL (Sports Network) - The Chicago White Sox and infielder Juan Uribe avoided arbitration Thursday by agreeing to terms on a three-year, \$9.75 million contract with a club option for 2008."
2,"Pedro Martinez considered the choices: stay with the World Series champion Boston Red Sox, sign with the NL champion St. Louis Cardinals or become the cornerstone of a reconstruction project with the New York Mets."
2,"Hawaii coach Riley Wallace will be released from the hospital Thursday after having a stent inserted Wednesday into an artery that was 90 percent blocked, according to assistant coach Bob Nash."
2,"His team was 1-7 and his list of injured players seemed a mile long. Carolina coach John Fox changed nothing, sticking with his style of cutesy little clich Des to pull the Panthers through and prevent them from quitting on him."
1,Saudi security forces thwarted planned protest marches in the kingdom #39
3,Athletic shoemaker says earnings jump on strong demand for its athletic shoes and Converse sneakers. NEW YORK (Reuters) - Nike Inc.
3,"Fire investigators said it is still unclear what started a fire at a UPS shipping hub in Hodgkins, which damaged seven trailers early Thursday."
4,Apple #39
3," NEW YORK (Reuters) - U.S. blue chips closed higher on  Thursday, helped by gains in Johnson   Johnson &lt"
3, NEW YORK (Reuters) - Oil prices held Wednesday's 6 percent  gains on Thursday on fears over U.S. fuel supplies ahead of the  northern winter.
3, LOS ANGELES (Reuters) - Shares of Blockbuster Inc. &lt
3,"The nation's accounting rulemaker decided Thursday that companies will have to begin deducting the value of stock options from their profits next year, a move cheered by shareholder advocates but scorned by many companies who rely heavily on options to beef up compensation packages."
3,US Airways Group Inc. on Thursday won court approval to move ahead with an aircraft leasing and financing deal that will help the struggling airline lower costs and reduce debt.
3,A tape said to have been recorded by Osama Bin Laden calls on his supporters\to strike Gulf oil supplies.
2,"AP - In a deal motivated by his recent return to the starting rotation, John Smoltz agreed Thursday to a new two-year contract with the Braves that increases the chance he will complete his career in Atlanta."
2,"AP - If the New York Jets were in the NFC, they would probably have a playoff spot already. Instead, they still have a fight on their hands as they play host Sunday to Seattle, which has won two fewer games, but leads the NFC West."
2,"AP - His wiry 6-foot-6 frame is better suited for basketball, except when it comes to reaching for a high pass in the end zone."
2,AP - The Chicago White Sox agreed to a  #36
3,The medical device maker receives FDA clearance for new heart monitoring technology.
2," WASHINGTON (Reuters) - Washington, D.C., Mayor Anthony  Williams will try to get financing for a Major League Baseball  stadium back on the city council agenda next week after the  council added a deal-breaking provision to the original bill,  the mayor's spokesman said on Thursday."
2," ATLANTA (Sports Network) - The Atlanta Braves announced  Thursday that the team has come to terms with longtime pitcher  John Smoltz to a new two-year contract with a club option for  the 2007 season. Per club policy, financial terms were not  disclosed."
2," STARKVILLE, Miss. (Sports Network) - Mississippi State has  extended the contract of head football coach Sylvester Croom,  keeping him with the university through the 2008 season."
2," ATHENS, Ohio (Sports Network) - Ohio University named  former Nebraska coach Frank Solich as its new head football  coach during a Thursday afternoon press conference."
2,Real Madrid #39
2,Real Madrid #39
2,"MADRID: Some 70,000 people have been forced to evacuate Real Madrid #39"
2,A bomb threat forced the evacuation of Santiago Bernabeu Stadium in the 88th minute of a Spanish league game between host Real Madrid and Real Sociedad on Sunday.
2,"12.12.04 - By Marcus Wood: While many had predicted that Klitschko would beat Williams and just as many had predicted it would be by KO, few would have said Klitschko would shut Williams out from the first bell."
2,Vitali Klitschko said he wants to join the political fight in his native Ukraine after an emphatic defense of his World Boxing Council heavyweight title against Danny Williams on Saturday.
2,"VITALI Klitschko successfully defended his World Boxing Council heavyweight crown here on Saturday, stopping Britain #39"
