"Label;Description";;;;;;;;;
"2,""Panthers Punter Arrested on DWI Charge (AP)"",""AP - Carolina Panthers punter Todd Sauerbrun was arrested and charged with driving while impaired, a police spokeswoman said Thursday.""";;;;;;;;;
"2,""Plan to limit foreigners mooted"",""Arsene Wenger #39";;;;;;;;;
"2,""Pistons get gift from Knicks"",""They were in desperate need of a victory, and the New York Knicks gift-wrapped one for them on Wednesday. Detroit (11-10) pulled off one of its more improbable wins, getting a pair of """;;;;;;;;;
"2,""Cole pleads for Blues chance"",""Joe Cole has pleaded for another chance to prove himself at Chelsea as his Stamford Bridge future remains clouded in uncertainty ahead of the transfer window.""";;;;;;;;;
"1,""Iraqi Militants Say They Shot Italian (AP)"",""AP - Iraqi militants said they shot and killed an Italian citizen after he tried to break through a guerrilla roadblock on a highway outside the insurgent stronghold of Ramadi.""";;;;;;;;;
"1,""Police arrest stationmaster after rail crash (Reuters)"",""Reuters - Indian railway police on Thursday arrested one of two stationmasters blamed for a head-on crash between two passenger trains which killed at least 38 people and injured 53, officials said.""";;;;;;;;;
"2,""Bode Miller Faces a Tough Challenge"","" VAL GARDENA, Italy (Reuters) - American Bode Miller faces a  challenge to his domination of the men's World Cup when the  speed events return with three days of racing in the Dolomites.""";;;;;;;;;
"2,""Detroit Pistons Team Report - December 16"",""(Sports Network) - The Detroit Pistons start a three-game homestand, as they welcome LeBron James and the Cleveland Cavaliers tonight to The Palace of Auburn Hills.""";;;;;;;;;
"3,""Coming to America (to Die)"",""You know your country is messed up if people don #39";;;;;;;;;
"3,""Bush to tackle Social Security issues"",""The nation #39";;;;;;;;;
"3,""Google wins AdWords trade mark case"",""Google has won a trade mark dispute, with a District Court judge finding that the search engines sale of sponsored search terms Geico and Geico Direct did not breach car insurance firm GEICOs rights in the trade marked terms.""";;;;;;;;;
"3,""Goldman reports quarterly earnings up 36"",""Goldman Sachs reported strong fourth quarter and full year earnings of \$1.19bn, up 36 per cent on the previous quarter. Full year profit rose 52 per cent from the previous year to \$4.55bn.""";;;;;;;;;
"3,""Hershey Ups Wholesale Prices on Candy"",""People looking for that next chocolate fix might find it a little bit more expensive Thursday after Hershey Food Corp. said it will raise wholesale prices to offset higher raw material and other production costs.""";;;;;;;;;
"3,""J amp";;;;;;;;;
"3,""Clorox Boosts 2Q, Year Guidance on Gain"",""Household products maker Clorox Co. on Thursday revised its second-quarter and year guidance higher to reflect the benefits of the stock exchange with Henkel KGaA and related financing.""";;;;;;;;;
"3,""Fannie Mae delays note sale announcement to Friday"",""Fannie Mae (FNM.N: Quote, Profile, Research) , the largest US home funding company, said on Thursday it will delay by one day until Friday announcing whether it will sell December benchmark notes.""";;;;;;;;;
"3,""Coke Enterprises Outlook Disappoints"",""Coca-Cola Enterprises Inc. (CCE.N: Quote, Profile, Research) , the world #39";;;;;;;;;
"4,""Ask Jeeves Launches Desktop Search"",""Ask Jeeves has launched a beta desktop search application, capping off a very busy year in the desktop search space. Just a year ago, consumer oriented desktop search was only available from a few small companies like Enfish, dtSearch, and x1.""";;;;;;;;;
"4,""Linux Poised for Takeoff"",""The market for Linux-based products, including servers, PCs and software, will reach \$35 billion by 2008, according to a report from IDC.""";;;;;;;;;
"4,""Yahoo! shows live traffic conditions"",""Company #39";;;;;;;;;
"4,""Indian Scientists Discover New Primate Species"",""There are 19 macaque species in Asia and one in Africa, and they are said to be second only to human beings in their wide geographical distribution.""";;;;;;;;;
"4,""Nokia hologram to expose fake, unsafe batteries"",""Nokia has begun applying a holographic sticker to its mobile phone batteries in a bid to prevent fake power packs being inadvertently purchased as the real thing.""";;;;;;;;;
"4,""Nintendo Powers Up"",""The battle between the Nintendo DS and Sony PSP handheld game players just heated up again. Faced with the PSPs movie and music playback capabilities, Nintendo announced yesterday that it will be releasing """;;;;;;;;;
"4,""Zafi worm causes email mayhem"",""Mass-mailing Zafi-D worm, which disguises itself as a Christmas greeting, is infecting more than one in every ten emails. The worm, which spreads in a file attached to email messages containing the text Happy """;;;;;;;;;
"2,""UPDATE 1-Wenger fined for Old Trafford comments"",""Arsenal manager Arsene Wenger has been fined 15,000 pounds (\$29,220) for improper conduct for comments he made after the champions #39";;;;;;;;;
"2,""Cropp Not Shaken by MLB #39";;;;;;;;;
"2,""Kinnear resigns as Nottingham Forest manager"",""Joe Kinnear resigned Thursday as manager of struggling League Championship side Nottingham Forest. Kinnear took over at the City Ground in February and steered Forest out of relegation danger last season.""";;;;;;;;;
"2,""Three fans banned for racially abusing Yorke"",""Three men have been banned from football matches for five years after Birmingham City striker Dwight Yorke was racially abused at Blackburn Rovers last month, a court official said on Thursday.""";;;;;;;;;
"2,""Golden State Warriors Team Report - December 16"",""(Sports Network) - The Golden State Warriors lost to the New Orleans Hornets, 98-89, on Wednesday. The Warriors are 1-1 on their current four-game road trip.""";;;;;;;;;
"2,""Soccer to become football in Australia"",""Soccer will officially become football in Australia next year after the Australian Soccer Association announced Thursday it will change its name to Football Federation Australia.""";;;;;;;;;
"2,""Bode Miller Faces a Tough Challenge"",""American Bode Miller faces a challenge to his domination of the men #39";;;;;;;;;
"2,""Ayoob to play football at Cal"",""With his infamous work ethic, Cal football coach Jeff Tedford isn #39";;;;;;;;;
"2,""Houston Rockets Team Report - December 16"",""(Sports Network) - Tracy McGrady scored a game-high 25 points and added six rebounds to lead the Houston Rockets over the Atlanta Hawks, 92-69, on Wednesday at the Toyota Center.""";;;;;;;;;
"1,""Barroso Urges Turkey to Go Extra Mile on EU Talks"",""The European Commission president urged Turkey on Thursday to  quot";;;;;;;;;
"1,""Alleged Bin Laden Tape Targets Saudi Rulers"",""An audio tape purportedly by Osama bin Laden praises gunmen who attacked a US consulate in Saudi Arabia on Dec. 6 and warns Saudi rulers they could be toppled like the Shah of Iran.""";;;;;;;;;
"1,""Syria rejects US accusations of meddling in Iraqi affairs"",""Syria on Thursday rejected accusations by US President George W. Bush and some Iraqi officials of meddling in Iraqi affairs as  quot";;;;;;;;;
"1,""Sudan will stop attacks if Darfur rebels do-official"",""The Sudanese government will stop its military operations in the Darfur conflict zone in west Sudan if rebels in the area stop violating a ceasefire deal, a top official in Sudan #39";;;;;;;;;
"1,""Japan urged to repeal Lee visit"",""China strongly demanded Japan immediately repeal its decision to issue a visa to former Taiwan leader Lee Teng-hui, warning that if Tokyo allows the visit it will harm bilateral relations.""";;;;;;;;;
"1,""Abbas #39";;;;;;;;;
"1,""NZ first in coastal security zone rule"",""The Government may have been caught flat-footed by Australia #39";;;;;;;;;
"2,""Panthers Punter Sauerbrun Arrested for DWI (Reuters)"",""Reuters - Carolina Panthers punter\Todd Sauerbrun was arrested Wednesday night and charged with\driving while impaired.""";;;;;;;;;
"2,""Source: New Warrants for NYRA Tracks (AP)"",""AP - Authorities are investigating whether bettors at New York's top thoroughbred tracks were properly informed when jockeys came in overweight at races, a source familiar with the probe told The Associated Press.""";;;;;;;;;
"2,""Panthers Punter Sauerbrun Arrested for DWI"","" CHARLOTTE, N.C. (Sports Network) - Carolina Panthers punter  Todd Sauerbrun was arrested Wednesday night and charged with  driving while impaired.""";;;;;;;;;
"1,""Compensation for Pinochet Victims Approved (AP)"",""AP - Congress overwhelmingly passed a bill granting money and other compensation to some 28,000 former political prisoners, most of them victims of torture during the dictatorship of Gen. Augusto Pinochet.""";;;;;;;;;
"3,""ADVISORY: Levi Strauss Story Withdrawn (Reuters)"",""Reuters - The story headlined """"UPDATE 1-Levi\Strauss   Co says could face bankruptcy"""" is withdrawn. The\story was based on language included in a filing the company\made with the U.S. Securities and Exchange Commission. Such\language on risk factors is standard in most references to\indebtedness in regulatory filings by companies.""";;;;;;;;;
"1,""Iceland Offers Shelter to Fugitive Chess Player Fischer (Reuters)"",""Reuters - Fugitive chess master Bobby\Fischer has been offered a new home in Iceland, where he won a\classic victory in 1972, but it is unclear whether he will be\able to make the move from his detention in Japan.""";;;;;;;;;
"1,""Montreal man pleads guilty to arson in firebombing at Jewish school (Canadian Press)"",""Canadian Press - MONTREAL (CP) - A 19-year-old man charged in a firebombing at a Jewish elementary school pleaded guilty Thursday to arson.""";;;;;;;;;
"3,""Symantec to Buy Veritas for \$13.5 Billion"","" NEW YORK/SAN FRANCISCO (Reuters) - Symantec Corp. &lt";;;;;;;;;
"3,""FedEx Profit, Outlook Up, Stock Down"","" NEW YORK (Reuters) - FedEx Corp. &lt";;;;;;;;;
"3,""ADVISORY: Levi Strauss Story Withdrawn"","" NEW YORK (Reuters) - The story headlined """"UPDATE 1-Levi  Strauss   Co says could face bankruptcy"""" is withdrawn. The  story was based on language included in a filing the company  made with the U.S. Securities and Exchange Commission. Such  language on risk factors is standard in most references to  indebtedness in regulatory filings by companies.""";;;;;;;;;
"3,""Parmalat sues 45 banks over crash"",""Parmalat sues 45 banks as it tries to reclaim money paid to banks before the scandal-hit Italian dairy company went bust last year.""";;;;;;;;;
"3,""Stormy year for property insurers"",""A string of storms, typhoons and earthquakes makes 2004 the most expensive year on record for property insurers, according to Swiss Re.""";;;;;;;;;
"1,""UK Keeps Terror Suspects in Jail, Despite Judgement"","" LONDON (Reuters) - Britain's top court delivered a severe  jolt to Prime Minister Tony Blair's post-Sept. 11 security  policies on Thursday by ruling against the detention of nine  foreign terrorism suspects without trial.""";;;;;;;;;
"3,""Southwest Airlines Nears \$117 Million Deal for ATA"",""Southwest Airlines was the apparent winner today in the bidding war for ATA Airlines, a low-fare carrier that sought Chapter 11 protection this fall.""";;;;;;;;;
"1,""Algeria Security Feared Behind 5,200 Deaths"","" ALGIERS (Reuters) - Algerian security forces members are  believed responsible for the deaths of 5,200 civilians who  disappeared during a decade-long struggle with Islamic rebels  and should face justice, a government-appointed official said.""";;;;;;;;;
"3,""Update 1: Moscow Court Bars Yukos Meeting"",""A Moscow court has barred the embattled Russian oil giant Yukos from holding an emergency shareholders meeting next week, a Russian oil company official said Thursday.""";;;;;;;;;
"3,""Symantec Will Buy Veritas for \$13.5 Billion in Stock (Update4)"",""Symantec Corp., the world #39";;;;;;;;;
"3,""FedEx Profit, Outlook Up, Stock Down"",""FedEx Corp. (FDX.N: Quote, Profile, Research) said quarterly profit nearly quadrupled on in its international, ground and freight businesses, but the stock slipped on disappointment over the margins.""";;;;;;;;;
"3,""Cendant Snags Another Travel Site"",""The acquisition of privately held Gullivers, a wholesaler of hotels, travel packages and group tours, also includes online travel seller OctopusTravel.""";;;;;;;;;
"3,""Noble to Buy Patina Oil for Cash, Stock"",""Oil and gas producer Noble Energy Inc. (NBL) agreed to buy Patina Oil  amp";;;;;;;;;
"4,""Yahoo adds traffic information to map service"",""Yahoo is adding local traffic information to its map service in the US, including roadwork and accident reports as well as the approximate speed at which traffic is proceeding along specific roads.""";;;;;;;;;
"4,""O2 and Nortel demo super-fast wireless broadband"",""O2 and Nortel have completed live mobile test calls using an emerging technology known as High Speed Downlink Packet Access (HSDPA), which the firms claim is three times faster than today #39";;;;;;;;;
"2,""Three English fans get five-year bans for racist taunting"",""Three soccer fans were fined and banned from attending games in England or Wales until 2009 after pleading guilty Thursday to racist taunting of Birmingham City striker Dwight Yorke.""";;;;;;;;;
"1,""US Intelligence Analyzing New Tape Attributed to bin Laden"",""A US official says intelligence agents will analyze a new tape purportedly featuring the voice of Osama bin Laden. The message praises this month #39";;;;;;;;;
"1,""Turkey urged to recognise Cyprus"",""The European commission president, Jose Manuel Barroso, today urged Ankara to  quot";;;;;;;;;
"3,""Another wireless hookup"",""Sprint #39";;;;;;;;;
"3,""Time Warner to Pay \$510 Million to Settle AOL Charges with US &lt";;;;;;;;;
"3,""Lawyers Clear Krispy Kreme of Wrongdoing"",""Troubled doughnut maker Krispy Kreme said Thursday that lawyers have concluded for a second time that no one at the company engaged in intentional misconduct related to the company #39";;;;;;;;;
"3,""J amp";;;;;;;;;
"3,""Cendant buying spree continues with \$1bn UK deal"",""Cendant, the worlds largest travel group, continued its buying spree, saying on Thursday it had agreed to buy privately held Gullivers Travel Associates, the UK-based travel company, and Octopus Travel for about \$1.1bn cash.""";;;;;;;;;
"3,""Noble to Buy Patina Oil for Cash, Stock"",""Oil and gas producer Noble Energy Inc. (NBL.N: Quote, Profile, Research) agreed to buy Patina Oil  amp";;;;;;;;;
"4,""P2P sites shut down, MPAA unleashes lawsuits worldwide"",""In the beginning, there was Napster. And the lords of the music industry looked upon it and declared war. And the hordes of music fans fought back, using technology to the utmost in order to continually stay """;;;;;;;;;
"4,""Microsoft Acquires Anti-Spyware Leader GIANT Company"",""Microsoft Corp. today announced that it has acquired GIANT Company Software Inc., a provider of top-rated anti-spyware and Internet security products.""";;;;;;;;;
"2,""Australia claw back after Langer smacks 181"",""Australia: The long-awaited showdown between two of the world #39";;;;;;;;;
"1,""I sacrificed career for little boy #39";;;;;;;;;
"1,""Iceland offers visa to chess wizard Bobby Fischer"",""TOKYO - Iceland has offered a residency visa to Bobby Fischer, but the former US chess champion faces obstacles to get there because he remains in jail in Japan under an American deportation order.""";;;;;;;;;
"1,""China vows to further anti-terror ties with Pakistan"",""Beijing, Dec. 16 (PTI): China today said it opposed terrorism  quot";;;;;;;;;
"1,""Australian security plan worries New Zealand:"",""World News: Wellington, Dec 16 : An Australian plan to boost coastal security with a vast surveillance net across the Tasman Sea has taken New Zealand by surprise.""";;;;;;;;;
"1,""UN troops surround Aristide #39";;;;;;;;;
"3,""Economic Data Triggers Huge Dollar Rally"","" NEW YORK (Reuters) - The dollar rebounded strongly on  Thursday after the release of data showing the U.S. current  account was narrower in the third quarter than many had feared,  triggering a relief rally for the beleaguered U.S. currency.""";;;;;;;;;
"1,""Russia Duma election must stand"",""Russia's Supreme Court rejects a claim to invalidate the results of the 2003 elections to the Duma.""";;;;;;;;;
"1,""UK rejects North Sea fishing plan"",""Plans by the European Commission to close some areas round British coasts to cod fishing will be opposed by the UK.""";;;;;;;;;
"1,""Mystery Woman in Kerik Case: Nanny"",""Little is known about the household employee at the center of the controversy enveloping Bernard B. Kerik, the former nominee for homeland security secretary.""";;;;;;;;;
"3,""Star Alliance airlines may delay orders to hear more about Airbus &lt";;;;;;;;;
"3,""CORRECTED - UPDATE 2-Krispy Kreme lawyers found no purposeful &lt";;;;;;;;;
"3,""Goldman #39";;;;;;;;;
"3,""Noble to buy Patina Oil Gas for \$3.4bn"",""Noble Energy Inc. said Thursday it was acquiring Patina Oil Gas Corp. in a deal valued at \$3.4 billion including the assumption of debt, helping it expand into the Rockies and mid-continent.""";;;;;;;;;
"1,""India 'delivers aid to islands'"",""The Indian army says planes have delivered supplies to tsunami survivors on \all the Andaman and Nicobar islands.""";;;;;;;;;
"4,""Microsoft Purchases GIANT Company Software for Anti-Spyware &lt";;;;;;;;;
"2,""LEVEIN RELISHING DERBY CLASH"",""Craig Levein hopes to give Leicester fans an early Christmas present when his side face local rivals Nottingham Forest at the City Ground.""";;;;;;;;;
"2,""Miller takes weekly honors with fifth, sixth wins"",""com. How high have expectations risen for Bode Miller? The one-time slalom specialist finishes fourth in a World Cup downhill, and it #39";;;;;;;;;
"2,""Boston Celtics Team Report - December 16"",""(Sports Network) - The Boston Celtics found themselves on the wrong end of a 100-99 decision against the Denver Nuggets on Wednesday at the FleetCenter.""";;;;;;;;;
"1,""Full Extent of Indonesia Disaster Slowly Revealed"","" BANDA ACEH, Indonesia (Reuters) - Survivors huddle in  clearings without food or shelter above the water-damage line  all along the tsunami-ravaged coast of Indonesia's Aceh  province, and corpses float for miles out to sea.""";;;;;;;;;
"1,""EP Leaders Deliver Opinion: Let Negotiations Begin Without Delay"",""The European Parliament (EP) has advised European Union (EU) leaders, who meet today at the EU summit, to begin full membership negotiations with Turkey immediately.""";;;;;;;;;
"1,""Japan Approves Visa for Ex-Taiwan Leader"",""Japan has decided to issue a visa for former Taiwanese President Lee Teng-hui to visit this year, a government spokesman said Thursday, a decision that could exacerbate tense relations with China.""";;;;;;;;;
"1,""Italian captive Santoro killed in Iraq"",""An Italian captive identified as Salvatore Santoro has been killed by his captors in Iraq , Aljazeera television reported. Aljazeera on Thursday broadcast pictures of Santoro #39";;;;;;;;;
"1,""PM says his Chinese visit to strengthen close ties"",""ISLAMABAD, Dec 14 (NNI): Prime Minister Mr. Shaukat Aziz Tuesday said his visit will China will go a long way to strengthen existing close ties between the two countries in all fields.""";;;;;;;;;
"1,""Philips switches strategy pictures through flat screen disposal (AFP)"",""AFP - The Dutch electronics group Philips said that it is selling its low-brand flat screens business group to TPV Technology of Taiwan as part of a strategic change of direction, and in line with a trend by big groups to use Asian partners to cut costs.""";;;;;;;;;
"1,""Congressman's New Job Is Top Drug Lobbyist (Los Angeles Times)"",""Los Angeles Times - WASHINGTON  #8212";;;;;;;;;
"1,""Gaza Plan May Bring Palestinian State-Sharon Aide"","" JERUSALEM (Reuters) - Israeli Prime Minister Ariel Sharon's  chief of staff on Thursday called a Gaza withdrawal plan a  possible step toward a Palestinian state, in a clear sign of  softening following Yasser Arafat's death.""";;;;;;;;;
"1,""Bosnia Envoy Sacks Bosnia Serb Officials Over Hague"","" SARAJEVO (Reuters) - Bosnia's peace overseer fired six Serb  police officers and three other officials on Thursday to punish  the Serb Republic for failing to arrest war crimes suspects and  obstructing the process of hunting them down.""";;;;;;;;;
"3,""Statement From Demos On The Last Fed Rate Hike of 2004"","" quot";;;;;;;;;
"2,""SEARCHING FOR A HOME?"",""The deal to move the Expos to Washington, DC, is, as Mayor Anthony Williams puts it,  quot";;;;;;;;;
"2,""Promoter Wants More MLB Games in P.R. (AP)"",""AP - The promoter who brought the Montreal Expos to Puerto Rico is talking with major league baseball to have other reams play on the island next season.""";;;;;;;;;
"3,""Bed Bath   Beyond Debt-Free"",""The leading home-goods retailer keeps its balance sheet clean and delivers strong results.""";;;;;;;;;
"3,""Bush Says Social Security Is a Top Priority"",""President Bush said Thursday that """"now is the time to confront Social Security"""" to deal with a projected \$3.7 trillion, 75-year shortfall and give younger workers the ability to invest some of their contributions into personal accounts.""";;;;;;;;;
"3,""Sprint-Nextel: First Marital Tiff"",""Technology problems arise as Sprint and Nextel merge. Also: Symantec buys Veritas.... Illinois' governor bans violent video games for minors   hellip";;;;;;;;;
"3,""Symantec in \$13bn Veritas merger"",""Global security software maker Symantec is to take over Veritas Software in a merger deal valued at \$13.5bn (7bn). The all-share deal will see Symantec swap 1.1242 shares of common stock for each Veritas share.""";;;;;;;;;
"3,""Oil futures stabilize after sharp rise on cold North Hemisphere &lt";;;;;;;;;
"3,""J amp";;;;;;;;;
"3,""Cendant Corporation Acquires Gullivers Travel Associates And &lt";;;;;;;;;
"4,""Yahoo adds traffic information to maps service"",""Yahoo Inc. is adding local traffic information to its maps service, including roadwork and accident reports as well as the approximate speed at which traffic is proceeding along specific roads.""";;;;;;;;;
"4,""Warner Inks Mobile-Phone Music Deal"",""biz. Warner Music Group has signed a global licensing agreement with Melodeo Inc., marking the Seattle-based mobile music platform provider #39";;;;;;;;;
"4,""IDC: Linux Market Will Surpass \$35 Billion by 2008"",""The combined worldwide market for desktops, servers and packaged software running on Linux is forecast to grow at a 2003-2008 compound annual growth rate of 25.9 percent worldwide, reaching \$35.7 billion by 2008.""";;;;;;;;;
"2,""The two sides of Wenger"",""Is the real Arsenal boss the fair-minded French Professor we have come to admire or the sore loser who is to face the FA today for calling Ruud van Nistelrooy  quot";;;;;;;;;
"2,""Kinnear resigns as Forest manager"",""The City Ground side are languishing in 22nd place in the league and coach Mick Harford has taken temporary charge.  quot";;;;;;;;;
"2,""Source: New Warrants for NYRA Tracks"",""Authorities are investigating whether bettors at New York #39";;;;;;;;;
"2,""Mort: Coach keeps NFL door open, leery of full-time"",""Dave Wannstedt withdrew his name Thursday from the search for a new coach at the University of Pittsburgh, he told ESPN #39";;;;;;;;;
"2,""American Stewart back with Venlo"",""Amsterdam, the Netherlands (Sports Network) - American international Earnie Stewart has signed an 18-month contract with VVV Venlo, the club where the midfielder began his career.""";;;;;;;;;
"2,""New York Knicks"",""Billups scored 15 points, including a pair of free throws with 2.6 seconds left, as the Pistons rallied from a 16-point second-half deficit to defeat the Knicks, 94-93.""";;;;;;;;;
"2,""Taylor wants  #39";;;;;;;;;
"1,""Praise the lords"",""The law lords have produced a historic, landmark judgment upholding fundamental rights. It is a decision which demonstrates how vital it is for us all that an independent judiciary is able to scrutinise every act and decision of government and parliament.""";;;;;;;;;
"1,""Blunkett #39";;;;;;;;;
"1,""Islamist group in Iraq claims killing of Italian hostage: TV"",""DUBAI (AFP) - An Italian hostage identified as Salvatore Santoro has been killed by an Islamist group in Iraq, Al-Jazeera television said quoting a statement from the group and showing footage of the man.""";;;;;;;;;
"2,""Midway Developing Mature-Rated Football Video Game (Reuters)"",""Reuters - Midway Games Inc. plans to publish\a """"mature""""-rated pro football video game with the kinds of\violence and excess shunned by the National Football League,\the company said on Thursday.""";;;;;;;;;
"1,""Gaza Plan May Bring Palestinian State-Sharon Aide (Reuters)"",""Reuters - Israeli Prime Minister Ariel Sharon's\chief of staff on Thursday called a Gaza withdrawal plan a\possible step toward a Palestinian state, in a clear sign of\softening following Yasser Arafat's death.""";;;;;;;;;
"3,""Mid-Atlantic Factory Output Grows in Dec. (Reuters)"",""Reuters - U.S. Mid-Atlantic factories kicked\production up a notch in December as orders for manufacturing\goods increased, a regional Federal Reserve bank said on\Thursday.""";;;;;;;;;
"1,""Darfuris Fleeing Villages, Report Govt Attacks (Reuters)"",""Reuters - Darfuri Dowsa Ahmed Hassan\said he was standing in the market place when he heard the\Antonov plane's drone and watched it drop three bombs on his\village, killing a mother and her three children.""";;;;;;;;;
"1,""Sponsorship woes still dog Martin heading into new year (Canadian Press)"",""Canadian Press - OTTAWA (CP) - Paul Martin knew it wouldn't be easy to explain the sponsorship scandal to Canadian voters.""";;;;;;;;;
"1,""Miller to Honor Swift Boat Vets' Group (AP)"",""AP - For one night only, it'll be spitballs and Swift Boats together on the same stage  #151";;;;;;;;;
"3,""Mid-Atlantic Factory Output Grows in Dec."","" NEW YORK (Reuters) - U.S. Mid-Atlantic factories kicked  production up a notch in December as orders for manufacturing  goods increased, a regional Federal Reserve bank said on  Thursday.""";;;;;;;;;
"3,""Blue Chips Rise";;;;;;;;;
"3,""CORRECTED: Symantec to Buy Veritas for \$13.5 Billion"",""Symantec Corp. (SYMC), the top global security software maker, on Thursday said it will buy Veritas Software Corp. (VRTS) for \$13.5 billion, expanding """;;;;;;;;;
"3,""Southwest bids \$117M for ATA assets"",""Southwest Airlines #39";;;;;;;;;
"4,""Exchange That Funky Gift Card"",""If a plastic card that gives you credit for something you don't want isn't your idea of a great gift, you can put it up for sale or swap.""";;;;;;;;;
"3,""Goldman Sachs Fourth-Quarter Profit Rises"",""Goldman Sachs Group Inc. on Thursday said fourth-quarter profit rose as its fixed-income, currency and commodities business soared while a rebounding stock market boosted investment banking.""";;;;;;;;;
"3,""Update 2: FedEx Earnings More Than Triple in Quarter"",""The FedEx Corp., the huge package delivery courier, reported Thursday its second quarter earnings soared due to a strengthening economy and continued growth in overseas and ground shipping.""";;;;;;;;;
"2,""Francona kept Sox' snags sewn up"",""A few stories Terry Francona never told as he was guiding the Red Sox to their first world championship since the inventions of traffic signals, frozen food, and bubble gum:""";;;;;;;;;
"2,""BCS still ranks as a failure"",""FORT LAUDERDALE, Fla. -- Two days before college football's biggest game of the season -- the BCS national championship Orange Bowl matchup between No. 1 Southern Cal and No. 2 Oklahoma -- college football itself is again on the precipice of chaos.""";;;;;;;;;
"4,""HP to Invest \$3 Billion in Itanium-Powered Servers"",""Hewlett-Packard Co. is planning to spend \$3 billion over the next three years to grow the server product line that runs on Intel Corp.""";;;;;;;;;
"4,""Overall iPod sales surge, iPod photo demand mediocre"",""Sales of Apple #39";;;;;;;;;
"4,""SAP introduces security service"",""com December 15, 2004, 2:54 PM PT. SAP is starting a computer security service for its corporate customers, the German software maker announced on Wednesday.""";;;;;;;;;
"4,""Enterprise Security Adobe Patches Acrobat Vulnerabilities"",""Adobe has issued a patch for Acrobat Reader to correct a vulnerability that could allow an atacker to take over a user #39";;;;;;;;;
"2,""FA fines Wenger"",""London - Arsenal manager Arsene Wenger was fined 15 000 by the Football Association on Thursday for calling Manchester United striker Ruud van Nistelrooy a cheat.""";;;;;;;;;
"2,""Langer #39";;;;;;;;;
"2,""Orgeron introduced as football coach at Ole Miss"",""Ed Orgeron #39";;;;;;;;;
"1,""Ahern and Blair hope to revitalise NI process"",""Bertie Ahern and Tony Blair meet today to try to find a way of breathing new life into the faltering efforts to restore devolution to Northern Ireland.""";;;;;;;;;
"3,""Irish company hit by Iraqi report"",""Shares in Irish oil company Petrel Resources have lost more than 50 of their value on a report that the firm has failed to win a contract in Iraq.""";;;;;;;;;
"3,""Yukos could still rescue its main asset with help from US judge"",""Yukos can succeed in postponing the auction of Yuganskneftegaz on December 19 if the court rules in its favor in the case where the Russian oil giant seeks US Chapter 11 bankruptcy protection.""";;;;;;;;;
"3,""Southwest Wins Chicago ATA Gate Bid"",""Low-cost carrier Southwest Airlines Inc. reported Thursday that it won a \$117 million bid for rights to six of ATA Airlines Inc. #39";;;;;;;;;
"2,""Lions, Rogers OK six-year deal"",""The Detroit Lions reached a six-year deal with Shaun Rogers yesterday, making him the highest-paid defensive tackle in the NFL, his agent said. Kennard McGuire would not reveal terms of the contract, but ESPN.com reported the deal was worth \$46 million and included a \$15 million signing bonus. Rogers, 25, was selected to the Pro Bowl this year and was ...""";;;;;;;;;
"2,""Ole Miss tabs Orgeron as head coach"",""Oxford, MS (Sports Network) - The University of Mississippi introduced Southern California assistant Ed Orgeron as its new head football coach during a Thursday press conference.""";;;;;;;;;
"2,""Connors hopes to continue helping Brits"",""John McEnroe has previously worked with young British players, but the Lawn Tennis Association has now hooked up with another American left-hander with a fiery reputation.""";;;;;;;;;
"3,""HarperCollins' State of Bliss"",""The News Corp. publishing division appears to have a winning title on its hands.""";;;;;;;;;
"1,""Britain's Highest Court Overturns Anti-Terrorism Law"",""Britain's highest court ruled today that the British government cannot indefinitely detain foreigners suspected of terrorism.""";;;;;;;;;
"3,""UTC Agrees to Buy Kidde for \$2.8 Billion"","" LONDON/BOSTON (Reuters) - United Technologies Corp. &lt";;;;;;;;;
"3,""Skeptics Crash Symantec-Veritas Party"",""Within hours of the announcement that antivirus maker Symantec (SYMC:Nasdaq - news - research) and software storage vendor Veritas (VRTS:Nasdaq - news - research) would merge, skeptical investors shaved about a billion dollars off the value of the all """;;;;;;;;;
"3,""Sprint-Nextel: First Marital Tiff"",""The proposed merger of Sprint and Nextel Communications could face a rocky start as the companies work to run and eventually merge two wireless technologies without breaking the bank or losing customers.""";;;;;;;;;
"3,""Bush to reform Social Security"",""US President Bush said that now is the time to confront Social Security to deal with a projected \$3.7 trillion shortfall over 75 years and give younger workers the ability to invest some of their retirement money in personal accounts.""";;;;;;;;;
"3,""Goldman Sachs - robust earnings growth for 4Q"",""NEW YORK, December 16 (newratings.com) - Goldman Sachs Group (GS.NYS) reported sequential earnings growth of 36 for 4Q today. The renowned brokerage firm reported earnings of \$1.19 billion or \$2.36 per share """;;;;;;;;;
"3,""Update 1: Advance America Leads Busy Day for IPOs"",""Check-cashing service Advance America Cash Advance Centers Inc. gained as much as 37 percent in its initial public offering Thursday, leading moderate advances for all but one of the day #39";;;;;;;;;
"4,""New York Times runs Firefox ad"",""com December 16, 2004, 9:02 AM PT. Fans of the Mozilla Foundation #39";;;;;;;;;
"4,""ICANN Proceeds with .job and .mobi"",""December 16, 2004 -- (WEB HOST INDUSTRY REVIEW) -- The Internet Corporation for Assigned Names and Numbers (icann.org) said earlier this week that it has moved its commercial and technical negotiations with the .""";;;;;;;;;
"2,""Uefa backs local talent"",""Football teams would have to include a minimum number of  #39";;;;;;;;;
